id,name,latitude,longtitude
1,新千歳空港,42.7870865735,141.6771411878
2,函館空港,41.7760004866,140.8157980425
3,丘珠空港,43.110515705,141.3820391889
4,旭川空港,43.6710844751,142.4538910389
5,稚内空港,45.3995649221,141.7974472046
6,紋別空港,44.3065854091,143.4069469571
7,女満別空港,43.8814212609,144.1588130593
8,中標津空港,43.5733956017,144.9559235573
9,釧路空港,43.0451660911,144.196254015
10,帯広空港,42.7321588456,143.2127863171
11,礼文空港,45.4526236877,141.0417491189
12,利尻空港,45.2437796789,141.1836719513
13,奥尻空港,42.0725397804,139.4353598356
